"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2020年3月26日","4.93","4.93","4.99","4.90","50.15M","-0.78%"
"2020年3月25日","4.97","4.89","4.98","4.89","61.60M","3.84%"
"2020年3月24日","4.79","4.76","4.80","4.66","36.54M","2.61%"
"2020年3月23日","4.67","4.70","4.76","4.65","57.49M","-4.38%"
"2020年3月20日","4.88","4.85","4.89","4.78","34.27M","1.69%"
"2020年3月19日","4.80","4.86","4.88","4.65","69.19M","-1.03%"
"2020年3月18日","4.85","4.93","5.06","4.84","35.11M","-1.62%"
"2020年3月17日","4.93","4.98","5.07","4.77","70.21M","-0.60%"
"2020年3月16日","4.96","5.28","5.29","4.81","50.86M","-5.70%"
"2020年3月13日","5.26","5.04","5.33","5.02","63.21M","-1.50%"
"2020年3月12日","5.34","5.41","5.41","5.28","52.28M","-2.38%"
"2020年3月11日","5.47","5.58","5.58","5.46","18.68M","-1.80%"
"2020年3月10日","5.57","5.43","5.58","5.35","41.53M","2.58%"
"2020年3月9日","5.43","5.54","5.55","5.43","34.29M","-3.72%"
"2020年3月6日","5.64","5.66","5.70","5.63","24.11M","-1.74%"
"2020年3月5日","5.74","5.64","5.74","5.60","25.78M","3.05%"
"2020年3月4日","5.57","5.58","5.58","5.49","31.36M","0.00%"
"2020年3月3日","5.57","5.61","5.68","5.53","56.65M","0.72%"
"2020年3月2日","5.53","5.38","5.58","5.36","35.15M","3.75%"
"2020年2月28日","5.33","5.48","5.49","5.32","37.46M","-4.31%"
"2020年2月27日","5.57","5.60","5.64","5.54","30.94M","0.36%"
"2020年2月26日","5.55","5.61","5.67","5.52","51.15M","-2.80%"
"2020年2月25日","5.71","5.58","5.71","5.48","42.45M","0.71%"
"2020年2月24日","5.67","5.63","5.69","5.57","36.52M","0.53%"
"2020年2月21日","5.64","5.60","5.68","5.58","25.13M","0.53%"
"2020年2月20日","5.61","5.42","5.62","5.42","33.51M","3.31%"
"2020年2月19日","5.43","5.43","5.49","5.42","21.41M","-0.18%"
"2020年2月18日","5.44","5.45","5.45","5.37","20.86M","-0.37%"
"2020年2月17日","5.46","5.33","5.46","5.32","25.42M","2.63%"
"2020年2月14日","5.32","5.28","5.37","5.28","14.96M","0.57%"
"2020年2月13日","5.29","5.31","5.33","5.25","18.69M","-0.56%"
"2020年2月12日","5.32","5.27","5.32","5.21","15.27M","0.95%"
"2020年2月11日","5.27","5.21","5.30","5.21","23.44M","1.15%"
"2020年2月10日","5.21","5.11","5.21","5.11","21.05M","0.77%"
"2020年2月7日","5.17","5.16","5.17","5.10","19.20M","-0.19%"
"2020年2月6日","5.18","5.07","5.21","5.01","21.81M","2.17%"
"2020年2月5日","5.07","4.97","5.13","4.97","35.96M","2.22%"
"2020年2月4日","4.96","4.71","4.96","4.71","64.15M","5.53%"
"2020年2月3日","4.70","4.79","4.89","4.70","55.70M","-9.96%"
"2020年1月23日","5.22","5.36","5.38","5.17","35.72M","-3.87%"
"2020年1月22日","5.43","5.32","5.45","5.26","37.48M","1.12%"
"2020年1月21日","5.37","5.47","5.47","5.37","27.45M","-2.01%"
"2020年1月20日","5.48","5.41","5.48","5.39","27.90M","1.29%"
"2020年1月17日","5.41","5.42","5.45","5.39","29.75M","0.19%"
"2020年1月16日","5.40","5.41","5.42","5.38","17.01M","-0.18%"
"2020年1月15日","5.41","5.42","5.44","5.37","22.57M","-0.18%"
"2020年1月14日","5.42","5.48","5.49","5.42","35.42M","-0.91%"
"2020年1月13日","5.47","5.39","5.47","5.39","30.36M","1.48%"
"2020年1月10日","5.39","5.40","5.42","5.37","29.81M","-0.19%"
"2020年1月9日","5.40","5.33","5.40","5.33","20.08M","2.08%"
"2020年1月8日","5.29","5.32","5.36","5.27","33.83M","-0.94%"
"2020年1月7日","5.34","5.28","5.34","5.28","23.03M","1.14%"
"2020年1月6日","5.28","5.26","5.34","5.24","36.01M","-0.19%"
"2020年1月3日","5.29","5.30","5.32","5.26","37.77M","-0.19%"
"2020年1月2日","5.30","5.24","5.32","5.24","30.32M","1.73%"
"2019年12月31日","5.21","5.17","5.21","5.16","18.45M","0.77%"
"2019年12月30日","5.17","5.07","5.17","5.05","24.50M","1.77%"
"2019年12月27日","5.08","5.11","5.15","5.08","30.52M","-0.59%"
"2019年12月26日","5.11","5.07","5.11","5.07","25.35M","0.79%"
"2019年12月25日","5.07","5.05","5.08","5.04","16.99M","0.40%"
"2019年12月24日","5.05","5.01","5.06","5.01","17.19M","0.80%"
"2019年12月23日","5.01","5.09","5.11","5.00","31.87M","-1.57%"
"2019年12月20日","5.09","5.10","5.13","5.09","15.25M","-0.20%"
"2019年12月19日","5.10","5.09","5.11","5.08","22.29M","0.00%"
"2019年12月18日","5.10","5.12","5.15","5.09","25.62M","-0.39%"
"2019年12月17日","5.12","5.03","5.15","5.03","31.87M","1.59%"
