"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年2月19日","3.96","4.00","4.03","3.93","86.19M","-0.50%"
"2019年2月18日","3.98","3.85","3.98","3.85","70.29M","3.92%"
"2019年2月15日","3.83","3.88","3.88","3.82","63.68M","-1.54%"
"2019年2月14日","3.89","3.86","3.91","3.85","60.56M","0.78%"
"2019年2月13日","3.86","3.78","3.88","3.78","59.61M","2.12%"
"2019年2月12日","3.78","3.74","3.79","3.73","59.49M","1.07%"
"2019年2月11日","3.74","3.62","3.74","3.62","56.90M","3.31%"
"2019年2月1日","3.62","3.55","3.63","3.55","52.08M","2.55%"
"2019年1月31日","3.53","3.52","3.55","3.51","40.45M","0.86%"
"2019年1月30日","3.50","3.52","3.55","3.50","43.62M","-1.13%"
"2019年1月29日","3.54","3.53","3.55","3.48","40.60M","0.28%"
"2019年1月28日","3.53","3.55","3.59","3.53","40.57M","0.28%"
"2019年1月25日","3.52","3.50","3.55","3.49","42.70M","0.57%"
"2019年1月24日","3.50","3.48","3.51","3.45","36.99M","0.57%"
"2019年1月23日","3.48","3.46","3.49","3.46","30.28M","0.29%"
"2019年1月22日","3.47","3.52","3.52","3.46","39.04M","-1.42%"
"2019年1月21日","3.52","3.52","3.55","3.50","41.77M","0.28%"
"2019年1月18日","3.51","3.45","3.51","3.45","51.42M","2.03%"
"2019年1月17日","3.44","3.48","3.48","3.44","38.94M","-1.15%"
"2019年1月16日","3.48","3.47","3.49","3.46","32.75M","0.00%"
"2019年1月15日","3.48","3.39","3.48","3.38","50.69M","2.65%"
"2019年1月14日","3.39","3.43","3.44","3.39","37.17M","-1.17%"
"2019年1月11日","3.43","3.42","3.44","3.40","42.57M","0.59%"
"2019年1月10日","3.41","3.42","3.44","3.40","36.90M","-0.29%"
"2019年1月9日","3.42","3.39","3.47","3.39","67.11M","1.18%"
"2019年1月8日","3.38","3.37","3.39","3.36","46.04M","0.00%"
"2019年1月7日","3.38","3.36","3.39","3.35","53.77M","1.20%"
"2019年1月4日","3.34","3.21","3.34","3.21","57.37M","3.09%"
"2019年1月3日","3.24","3.26","3.30","3.24","36.31M","-0.61%"
"2019年1月2日","3.26","3.31","3.33","3.24","47.05M","-1.51%"
